pool_name,x_reserve,y_reserve
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xa2726501ad386066a67d605a6988f9eeb9d5cdd494f001679cfdfd722719eab4::Twoge_coin::TwogeCoin>",2964211,49639112768
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xa50f2dd91e7638f494bedfd38f0571ba918860044bd3736f33c0aad2d03c8122::bullbtc::BBC>",56159,42171144304
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xa70c8ceefa1fd15f51f7fcf136d2222ce11b8a35fe962d3d97f4257bc3903a87::Sink_Inu2::Sink_Inu>",1137,93915511
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xac54f49e4580ca57a8da95106a2a9b682946ca33365e6ca73849f160ff26f9a0::Elon_coin::Elon>",40037,47126408
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xacdb97f290f8afaff7bcf062d8e5c486ab6ce72766b9546d7b32f87ac32c1139::v::DIE>",3414547,23590769
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xb08f3bb03580d8fea5e6f01b604e49265988b62826002ed14a0ae9eb08991a87::gogocoin::Gogo>",70375,8662371184
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xb333068bffe8c3f640d7e3135ed8f1c378c90d06c9912c09298382cfcf660af9::kingmoney::KING>",211994,144205779294
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xb372b964cdd3298a9ee98011b682f7560f926cf2975eeebcd168541d9a81e67d::aptoburn::Aptoburn>",2626203,7
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xba0d5bd39a879b1a5bc31c5b1b467ab8d76d3814ca78305b4fffd0416fb6b292::PRT__RQNUVS::protonlzja>",3110769,26853230
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xbea5acb566c93ad8d7b4072100db029ecd2ea2b59c65332d5e0ffd2f0b80778d::RNM_coin::RNMCoin>",40070,10366040
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xc0ba6328b5c6f7c7c60bc63dffbb254dd489981f2fb7f4f40a2fb86619d4e57c::shitcoin::SHIT>",195909,833426
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xc43aec920411ce669b783f5cba909ad489cf1945a48e38a2f5f445c6a698b8d9::AptosLaunch::ALT>",401,375674580813
